Implementazione,Threads,Dataset Size (N),Chunk Size,Tempo Medio,Deviazione Standard
Parallel Pool,1,7068,883,4.384751567000057,0.04883305621973971
Parallel Pool,2,14136,883,4.601478063799732,0.03141642302059883
Parallel Pool,4,28272,883,4.898640473400155,0.054693664913703435
Parallel Pool,6,42408,883,7.386755178800376,0.1101744796515397
Parallel Pool,8,56544,883,9.870437166399643,0.04860222099273721
Parallel Threads,1,7068,883,4.4563646598006015,0.007488675040906448
Parallel Threads,2,14136,883,4.742389835200447,0.01574529058680953
Parallel Threads,4,28272,883,5.130657224800961,0.059666508284939856
Parallel Threads,6,42408,883,8.159561665599904,0.056811319624669745
Parallel Threads,8,56544,883,10.07106986180006,0.05306251148941821
